HEADER_NUMBER,ACCOUNT_NUMBER,SYSTEM_VALUE,POSTING_DATE,EFFECTIVE_DATE,ACCOUNT_ENTRY_DESCRIPTION,ACCOUNTING_PERIOD,USER_NAME,ENTRY_SOURCE,YEAR,MONTH,DAY,POSTING_DAY_OF_WEEK,WEEKEND_POSTING,DAYS_BETWEEN_POST_AND_EFFECTIVE,ABS_VALUE,IS_LARGE_VALUE,ACCOUNT_USAGE_COUNT,USER_ACTIVITY_LEVEL,DESC_LENGTH,HAS_KEYWORDS,DAILY_ENTRIES_BY_USER,USER_VALUE_STD,TRANSACTION_ACCOUNT_PAIR_COUNT,ENTRY_SOURCE_ENC,USER_NAME_ENC,ANOMALY_SCORE,IS_ANOMALY
19318,2710001,-3173.12,2024-10-05,2024-10-05,IS TRANSLATIONS SEPT 2024,9,USER1,AUTOMATED ENTRY,2024,10,5,Saturday,True,0,3173.12,0,745,38086,25,0,3395,6172512.304013386,49,0,0,0.1599492617886894,0
159886,2100001,-4428.3,2024-09-19,2024-09-19,Charge WTR  RECOVERY-WATER,9,USER3,MANUAL ENTRY,2024,9,19,Thursday,False,0,4428.3,0,449,19499,26,0,2740,93649.7543321324,1,1,3,0.18086029229434197,0
19281,8600002,4.9,2024-09-04,2024-09-04,RECEIPTS  TRANSLATIONS AUG2024,8,USER1,AUTOMATED ENTRY,2024,9,4,Wednesday,False,0,4.9,0,8217,38086,30,0,3071,6172512.304013386,662,0,0,0.19589005691374894,0
158621,310001,0.02,2024-06-28,2024-06-28,Cash Recpt BFD  BALANCE B/F,6,USER3,MANUAL ENTRY,2024,6,28,Friday,False,0,0.02,0,7685,19499,27,0,3030,93649.7543321324,21,1,3,0.20267857138542206,0
158917,200001,3355.2,2024-07-30,2024-07-30,Charge OPC  RECOVERY-OP COSTS,7,USER3,MANUAL ENTRY,2024,7,30,Tuesday,False,0,3355.2,0,16177,19499,29,0,3160,93649.7543321324,48,1,3,0.18656098961817663,0
158933,8300010,-199.4,2024-07-30,2024-07-30,Charge IOR  RECOVERY-INTEREST_RENTAL,7,USER3,MANUAL ENTRY,2024,7,30,Tuesday,False,0,199.4,0,851,19499,36,0,3160,93649.7543321324,1,1,3,0.1925022577783308,0
159875,200001,-7823.25,2024-09-19,2024-09-19,Cash Recpt INS  RECOVERY-INSURANCE,9,USER3,MANUAL ENTRY,2024,9,19,Thursday,False,0,7823.25,0,16177,19499,34,0,2740,93649.7543321324,7,1,3,0.17944154293998432,0
176032,402002,9464.5,2024-07-05,2024-07-05,ZW4887          SECURITY SERVICES JULY,8,USER1,MANUAL ENTRY,2024,7,5,Friday,False,0,9464.5,0,2464,38086,38,0,2228,6172512.304013386,5,1,0,0.17076299514562332,0
19321,310004,11.27,2024-10-05,2024-10-05,RECEIPTS  TRANSLATIONS SEPT2024,9,USER1,AUTOMATED ENTRY,2024,10,5,Saturday,True,0,11.27,0,6889,38086,31,0,3395,6172512.304013386,740,0,0,0.1466823529730193,0
19273,310004,-112.51,2024-09-04,2024-09-04,SPOT RATES AUG 24,8,USER1,AUTOMATED ENTRY,2024,9,4,Wednesday,False,0,112.51,0,6889,38086,17,0,3071,6172512.304013386,322,0,0,0.18507583813466272,0
19194,200001,-1331.77,2024-07-15,2024-07-15,IS TRANSLATIONS JUNE 2024,7,USER1,AUTOMATED ENTRY,2024,7,15,Monday,False,0,1331.77,0,16177,38086,25,0,1668,6172512.304013386,414,0,0,0.12725559258621733,0
19216,200001,5560.38,2024-08-03,2024-08-03,IS TRANSLATIONS JULY 2024,7,USER1,AUTOMATED ENTRY,2024,8,3,Saturday,True,0,5560.38,0,16177,38086,25,0,3287,6172512.304013386,479,0,0,0.11660119026251281,0
159082,200001,-607.21,2024-07-30,2024-07-30,Cash Recpt PLM  RECOVERY-PLUMBING,7,USER3,MANUAL ENTRY,2024,7,30,Tuesday,False,0,607.21,0,16177,19499,33,0,3160,93649.7543321324,31,1,3,0.20680630051406068,0
160340,450010,8.11,2024-09-30,2024-09-30,Non-Cash Adj VAT  Value Added Tax,9,USER3,MANUAL ENTRY,2024,9,30,Monday,False,0,8.11,0,1541,19499,33,0,698,93649.7543321324,1,1,3,0.16765737696998934,0
160263,200001,-77.08,2024-09-30,2024-09-30,Cash Recpt SAN  RECOVERY-SANITATION,9,USER3,MANUAL ENTRY,2024,9,30,Monday,False,0,77.08,0,16177,19499,35,0,698,93649.7543321324,12,1,3,0.17702194831132262,0
177035,400001,20240.24,2024-09-14,2024-09-14,A/P Total Payables for 09/24,9,USER1,MANUAL ENTRY,2024,9,14,Saturday,True,0,20240.24,0,2312,38086,28,0,823,6172512.304013386,1,1,0,0.0816139500144678,0
176835,402002,7429.35,2024-09-14,2024-09-14,22723 9/26/2024 LANDSCAPING,9,USER1,MANUAL ENTRY,2024,9,14,Saturday,True,0,7429.35,0,2464,38086,27,0,823,6172512.304013386,1,1,0,0.08720057545575532,0
